Row Index,Standard Deviation,Sample Size
664,10.407986436587164,11.725334229512764
665,10.340359030638943,11.573455136308452
666,10.373781120320713,11.648391446761314
667,10.329195377930354,11.548478771583907
668,10.381488237315539,11.665706033147442
669,10.273739278521427,11.424807108629564
670,10.264223282408603,11.403652577224456
671,10.156604914201973,11.165776071620048
672,10.125549377180276,11.097597967285036
673,10.132427703514702,11.112680374002077
674,10.12495037988589,11.096285004543383
675,10.283371777280719,11.446240596017006
676,10.341470038720095,11.575942263285887
677,10.314773848106647,11.51625351890772
678,10.34781697565714,11.59015577865836
679,10.353411800591457,11.602692224318597
680,10.3522291422694,11.600041651337182
681,10.324620134419003,11.538250404567165
682,10.333416832494056,11.55792023120733
683,10.313694712368136,11.513843974919892
684,10.152555815020758,11.15687500221616
685,10.20274193507762,11.267448965590978
686,10.372869093539283,11.646343364612704
687,10.375779327004647,11.652879325402168
688,10.42582066090132,11.765551691439136
689,10.431697896207659,11.77882036511673
690,10.50784003588784,11.95139778297417
691,10.567786864326457,12.0881513013913
692,10.575622468896142,12.106083738834776
693,10.464698479644166,11.853462630484668
694,10.48620425583688,11.902232282680727
695,10.489147970695479,11.908915672585094
696,10.49299527962436,11.917653404262772
697,10.47985397022429,11.887821026376562
698,10.470134847145438,11.865781478896091
699,10.51541718831489,11.968640187258565
700,10.496466879286391,11.925540602263725
701,10.55986970757659,12.0700457244534
702,10.590591422610041,12.14037839254147
703,10.602176177573641,12.16695296730126
704,10.731365823020067,12.4652730353632
705,10.75046105976363,12.509673555261763
706,10.775923371138159,12.569001692473947
707,10.799748120444264,12.62464135105533
708,10.818077282725286,12.667530400120722
709,10.935347166359012,12.943655524123335
710,10.922053541359144,12.912204576622145
711,10.700468887037431,12.393598223756246
712,10.849879302160632,12.742117625407017
713,10.447225656024916,11.813912412315572
714,10.465791043682902,11.85593787486657
715,10.511093301557295,11.95879932141357
716,10.487500951770699,11.905176061013691
717,10.48853124946319,11.907515317617117
718,10.471515076729684,11.868910107583648
719,10.63492299661992,12.242228894057517
720,10.696505089561509,12.384417950442225
721,10.705177300126838,12.404507468799846
722,10.62433826413321,12.217872115294032
723,10.672770229266181,12.329518465477108
724,10.77556101887136,12.568156413693771
725,10.826149807500181,12.686442652915831
726,10.848437393000065,12.738731089065572
727,10.787690011263892,12.596465819788026
728,10.932508670955043,12.93693680952234
729,10.986479801643755,13.064985110610122
730,11.002355186617912,13.102770011006044
731,11.056287318841143,13.231541040806587
732,11.171995690294574,13.509936722564394
733,11.170925494746383,13.507348540105482
734,10.839941735964953,12.718786923802632
735,10.926781985679503,12.923387062817152
736,11.061994525050844,13.245204691415736
737,10.85984416550736,12.76553388019034
738,10.665720644785656,12.313236043087848
739,10.700704249449885,12.394143437108681
740,10.816678340419063,12.664254402376962
741,10.832993705812557,12.702487538442714
742,10.85788899395277,12.760937762310679
743,10.837214131665037,12.712386990283193
744,11.028072169016129,13.164094611182406
745,11.041222185892915,13.195507404244765
746,11.222326095482014,13.631936808601749
747,11.30147299137587,13.82489682499594
748,11.069260461000848,13.262610307619472
749,11.205127370689755,13.59018570041892
750,11.346056561864417,13.934188599423585
751,11.199751736932077,13.577149108434124
752,11.327510096261493,13.888671686818256
753,11.36406224110274,13.978449547382295
754,11.407541714433346,14.085618674305918
755,11.430373592407543,14.142059049048175
756,11.319946559649013,13.870130559054738
757,11.27759926496592,13.766549882653921
758,11.314911659338119,13.857794954163506
759,11.363135120909202,13.976168818198369
760,11.381936775160954,14.02245753823188
761,11.233487352929183,13.659065804093478
762,11.278750471839185,13.769360579391016
763,11.26753215026233,13.741983026439573
764,11.394296609688688,14.05292851364314
765,11.394093201401908,14.052426779012805
766,11.365945474232326,13.983082901190105
767,11.109352105009215,13.35885571956238
768,11.14539334016927,13.44567458240808
